,portfolio_value,return,weight_AAPL,weight_AGG,weight_AMZN,weight_GLD,weight_GOOGL,weight_META,weight_MSFT,weight_SPY,weight_TLT,weight_XLE,weight_XLF,weight_XLK,weight_XLP,weight_XLV,cumulative_return,drawdown,position_change,transaction_cost,rolling_volatility,rolling_return,rolling_sharpe,year,month,rolling_var95,rolling_cvar95
2023-03-30,1.0,0.0,0.4,0.4,-0.4,0.39999995,-0.39999998,0.4,0.4,0.4,0.4,0.39999872,0.39999998,-0.4,0.4,0.39999667,0.0,0.0,0.0,0.0,,,,2023,3,,
2023-03-31,1.007464576678193,0.007464576678192891,0.4,0.4,-0.4,0.39999995,-0.4,0.4,0.4,0.4,0.4,0.39999893,0.4,-0.4,0.4,0.39999712,0.007464576678192891,0.0,7.1525574e-07,2.1457671e-09,,,,2023,3,,
2023-04-03,1.0296215212213389,0.021992777767136706,0.4,0.4,-0.4,0.39999995,-0.4,0.4,0.4,0.4,0.4,0.39999893,0.4,-0.4,0.4,0.3999972,0.029621521221338876,0.0,8.940697e-08,2.682209e-10,,,,2023,4,,
2023-04-04,1.0229565948352364,-0.006473180920107957,0.4,0.4,-0.4,0.39999998,-0.4,0.4,0.4,0.4,0.4,0.39999923,0.4,-0.4,0.4,0.39999774,0.022956594835236377,-0.006473180920107955,8.6426735e-07,2.592802e-09,,,,2023,4,,
2023-04-05,1.0438685384094883,0.020442649942171043,0.4,0.4,-0.4,0.39999998,-0.4,0.4,0.4,0.4,0.4,0.39999938,0.4,-0.4,0.4,0.39999804,0.043868538409488345,0.0,4.4703484e-07,1.3411046e-09,,,,2023,4,,
2023-04-06,1.0397843831702278,-0.003912518759769723,0.4,0.4,-0.4,0.39999998,-0.4,0.4,0.4,0.4,0.4,0.39999944,0.4,-0.4,0.4,0.39999795,0.03978438317022781,-0.003912518759769732,1.4901161e-07,4.4703485e-10,,,,2023,4,,
2023-04-10,1.0265047953232254,-0.012771482301469073,0.4,0.4,-0.4,0.39999998,-0.4,0.4,0.4,0.4,0.4,0.39999947,0.4,-0.4,0.4,0.399998,0.02650479532322536,-0.01663403239714419,8.940697e-08,2.682209e-10,,,,2023,4,,
2023-04-11,1.0433153025361388,0.01637645268634147,0.4,0.4,-0.4,0.39999998,-0.4,0.4,0.4,0.4,0.4,0.39999956,0.4,-0.4,0.4,0.39999804,0.0433153025361388,-0.0005299861553376192,1.1920929e-07,3.5762787e-10,,,,2023,4,,
2023-04-12,1.0547258487428484,0.010936814766324465,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999965,0.4,-0.4,0.4,0.39999816,0.05472584874284836,0.0,2.3841858e-07,7.1525574e-10,,,,2023,4,,
2023-04-13,1.074359879163719,0.01861529272679996,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.3999997,0.4,-0.4,0.4,0.39999828,0.074359879163719,0.0,1.7881393e-07,5.364418e-10,,,,2023,4,,
2023-04-14,1.050487710141234,-0.022219899947368726,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999977,0.4,-0.4,0.4,0.39999852,0.05048771014123399,-0.022219899947368747,2.9802322e-07,8.940697e-10,,,,2023,4,,
2023-04-17,1.0529370773806637,0.0023316476868637803,0.4,0.4,-0.4,0.4,-0.4,0.4,0.4,0.4,0.4,0.39999983,0.4,-0.4,0.4,0.39999866,0.052937077380663666,-0.019940061238819556,2.0861626e-07,6.2584876e-10,,,,2023,4,,
